WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),Vitamin D (D2 + D3) (mcg),"Iron
(mg)",Sodium (mg),Potassium (mg),Sodium (mg)
Nuts and seeds,605,19.59,21.04,4.53,7.6,53.62,0,2.78,313,603,313
Peanut butter and jelly sandwiches,396,13.98,39.84,7.14,3.2,20.11,0,2.79,460,272,460
Fruit drinks,18,0.22,4.24,3.92,0,0,0,0.03,26,165,26
Yeast breads,267,9.43,49.2,5.34,2.3,3.59,0,3.36,477,117,477
Rolls and buns,279,9.77,50.12,7.28,1.8,3.91,0,3.43,494,122,494
"Doughnuts, sweet rolls, pastries",321,10.04,53.58,15.38,3.1,7.37,0,2.74,253,149,253
Bagels and English muffins,264,10.56,52.38,8.43,1.6,1.32,0,3.57,422,107,422
Turnovers and other grain-based items,177,3.14,21.71,2.35,0.9,8.51,0.4,1.09,471,72,471
"Crackers, excludes saltines",412,12,68.4,1.26,3,9.5,0,4.28,713,124,713
Cookies and brownies,426,10.1,74.2,12.5,2.5,9.7,0,0.6,227,305,227
"Biscuits, muffins, quick breads",370,7.08,42.82,3.88,2.5,18.92,0,2.76,979,131,979
Tortillas,260,3.85,37.2,0.72,2.9,11.19,0,3.7,376,115,376
"Pancakes, waffles, French toast",170,4.87,22.92,12.25,0.2,6.52,0.7,1.52,219,178,219
Cereal bars,389,5,69.82,25,22.5,10,0,0.9,237,447,237
Nutrition bars,390,16.67,63.42,42.31,7.7,7.69,0.2,1.62,321,429,321
Baby food: snacks and sweets,359,7.34,83.4,18.18,3.4,3.29,0,20.42,83,257,83
Saltine crackers,416,9.39,73.48,2.19,2.9,8.75,0,5.07,646,716,646
Pretzels/snack mix,502,7,62.76,1.77,3.3,25.61,0,2.37,757,181,757
Potato chips,505,5.3,65.34,4.08,2.7,24.74,0,0.85,544,330,544
Popcorn,538,8.69,55.99,0.3,10.1,31.07,0,2,763,431,763
"Pasta, noodles, cooked grains",128,4.52,26.55,1.15,4.3,0.11,0,0.49,99,31,99
Grits and other cooked cereals,64,2.21,11.36,0.17,1.7,1.09,0,0.68,70,58,70
Oatmeal,80,2.6,11.9,0.69,1.7,2.54,0,0.68,93,74,93
Rice,129,2.67,27.99,0.05,0.4,0.28,0,1.19,245,35,245
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",379,7.74,77.71,25.36,6.6,4.01,5,15.55,527,193,527
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",374,12.42,67.92,4.9,10.5,6.17,5,30.87,506,342,506
Baby food: cereals,376,13.2,69.4,13.2,6.6,6.6,7.1,48.21,33,467,33
Other Mexican mixed dishes,197,10.8,14.84,1.2,2.1,10.81,1,1,368,163,368
Nachos,265,7.69,23.79,0.39,1.7,15.73,0.1,1.15,485,112,485
"Egg rolls, dumplings, sushi",270,5.62,30.02,5.63,2.3,14.14,0,1.86,463,210,463
"Pasta mixed dishes, excludes macaroni and cheese",178,8.51,9.38,0.14,0.2,11.96,0.7,0.86,263,83,263
Macaroni and cheese,223,8.68,23.08,2.44,1.2,10.5,0.5,1.06,358,103,358
